city,date,team1,team2,venue,toss_winner,toss_decision,win_by_runs,win_by_wickets,winner
Indore,24-09-2023,India,Australia,"Holkar Cricket Stadium, Indore",Australia,field,99,0,India
Nottingham,23-09-2023,England,Ireland,"Trent Bridge, Nottingham",Ireland,field,48,0,England
Dhaka,23-09-2023,New Zealand,Bangladesh,"Shere Bangla National Stadium, Mirpur",New Zealand,bat,86,0,New Zealand
Chandigarh,22-09-2023,Australia,India,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",India,field,0,5,India
Dhaka,21-09-2023,New Zealand,Bangladesh,"Shere Bangla National Stadium, Mirpur",Bangladesh,field,0,0,
Colombo,17-09-2023,Sri Lanka,India,"R Premadasa Stadium, Colombo",Sri Lanka,bat,0,10,India
Johannesburg,17-09-2023,South Africa,Australia,"The Wanderers Stadium, Johannesburg",Australia,field,122,0,South Africa
Colombo,15-09-2023,Bangladesh,India,"R Premadasa Stadium, Colombo",India,field,6,0,Bangladesh
London,15-09-2023,England,New Zealand,"Lord's, London",England,bat,100,0,England
Centurion,15-09-2023,South Africa,Australia,"SuperSport Park, Centurion",Australia,field,164,0,South Africa
Colombo,14-09-2023,Pakistan,Sri Lanka,"R Premadasa Stadium, Colombo",Pakistan,bat,0,2,Sri Lanka
London,13-09-2023,England,New Zealand,"Kennington Oval, London",New Zealand,field,181,0,England
Potchefstroom,12-09-2023,South Africa,Australia,"Sedgars Park, Potchefstroom",Australia,field,111,0,South Africa
Colombo,12-09-2023,India,Sri Lanka,"R Premadasa Stadium, Colombo",India,bat,41,0,India
Colombo,11-09-2023,India,Pakistan,"R Premadasa Stadium, Colombo",Pakistan,field,228,0,India
Southampton,10-09-2023,England,New Zealand,"The Rose Bowl, Southampton",New Zealand,field,79,0,England
Bloemfontein,09-09-2023,Australia,South Africa,"Mangaung Oval, Bloemfontein",South Africa,field,123,0,Australia
Colombo,09-09-2023,Sri Lanka,Bangladesh,"R Premadasa Stadium, Colombo",Bangladesh,field,21,0,Sri Lanka
Cardiff,08-09-2023,England,New Zealand,"Sophia Gardens, Cardiff",New Zealand,field,0,8,New Zealand
Bloemfontein,07-09-2023,South Africa,Australia,"Mangaung Oval, Bloemfontein",Australia,field,0,3,Australia
Lahore,06-09-2023,Bangladesh,Pakistan,"Gaddafi Stadium, Lahore",Bangladesh,bat,0,7,Pakistan
Lahore,05-09-2023,Sri Lanka,Afghanistan,"Gaddafi Stadium, Lahore",Sri Lanka,bat,2,0,Sri Lanka
Kandy,04-09-2023,Nepal,India,Pallekele International Cricket Stadium,India,field,0,10,India
Lahore,03-09-2023,Bangladesh,Afghanistan,"Gaddafi Stadium, Lahore",Bangladesh,bat,89,0,Bangladesh
Kandy,02-09-2023,India,Pakistan,Pallekele International Cricket Stadium,India,bat,0,0,
Kandy,31-08-2023,Bangladesh,Sri Lanka,Pallekele International Cricket Stadium,Bangladesh,bat,0,5,Sri Lanka
Multan,30-08-2023,Pakistan,Nepal,Multan Cricket Stadium,Pakistan,bat,238,0,Pakistan
Colombo,26-08-2023,Pakistan,Afghanistan,"R Premadasa Stadium, Colombo",Pakistan,bat,59,0,Pakistan
Hambantota,24-08-2023,Afghanistan,Pakistan,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Afghanistan,bat,0,1,Pakistan
Hambantota,22-08-2023,Pakistan,Afghanistan,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Pakistan,bat,142,0,Pakistan
Tarouba,01-08-2023,India,West Indies,"Brian Lara Stadium, Tarouba, Trinidad",West Indies,field,200,0,India
Bridgetown,29-07-2023,India,West Indies,"Kensington Oval, Bridgetown, Barbados",West Indies,field,0,6,West Indies
Bridgetown,27-07-2023,West Indies,India,"Kensington Oval, Bridgetown, Barbados",India,field,0,5,India
Chattogram,11-07-2023,Afghanistan,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram",Afghanistan,bat,0,7,Bangladesh
Harare,09-07-2023,Sri Lanka,Netherlands,Harare Sports Club,Netherlands,field,128,0,Sri Lanka
